id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
5.58E+17,Cottage in Portland · ★4.94 · 1 bedroom · 1 bed · 1 bath,393173700,Glenelg,-38.35242,141.60494,Entire home/apt,139,1,146,16-12-2023,7.2,1,228,86
5.58E+17,Vacation home in Jan Juc · ★4.92 · 1 bedroom · 2 beds · 1 bath,173429646,Surf Coast,-38.35221,144.29247,Entire home/apt,438,2,166,17-12-2023,7.28,43,287,79
5.58E+17,Guesthouse in Port Campbell · ★4.86 · 2 bedrooms · 3 beds · 1 bath,4542165,Corangamite,-38.61837,142.99889,Entire home/apt,376,1,96,17-12-2023,4.25,1,29,66
5.58E+17,Vacation home in Wye River · ★4.97 · 3 bedrooms · 5 beds · 2 baths,116296147,Colac Otway,-38.64174,143.89264,Entire home/apt,1171,2,36,22-12-2023,1.6,1,307,19
5.58E+17,Home in Torquay · 3 bedrooms · 4 beds · 2 baths,51748440,Surf Coast,-38.323944,144.32196,Entire home/apt,589,2,1,18-04-2022,0.05,136,342,0
5.58E+17,Home in Hamilton · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,444252088,Southern Grampians,-37.74795,142.01861,Entire home/apt,225,2,14,27-01-2023,0.64,1,350,3
5.58E+17,Townhouse in Drumcondra · ★4.69 · 2 bedrooms · 2 beds · 1 bath,248365715,Greater Geelong,-38.12764,144.35392,Entire home/apt,314,3,13,26-11-2023,0.62,14,21,11
5.59E+17,Vacation home in Portarlington · ★5.0 · 3 bedrooms · 7 beds · 2 baths,442151206,Greater Geelong,-38.12057,144.66164,Entire home/apt,506,5,3,17-06-2023,0.16,1,181,2
5.59E+17,Home in Torquay · ★4.95 · 3 bedrooms · 4 beds · 2 baths,440260664,Surf Coast,-38.3302,144.3196,Entire home/apt,720,2,38,03-12-2023,1.8,18,102,16
5.59E+17,Home in Queenscliff · ★4.88 · 4 bedrooms · 6 beds · 2 baths,407922513,Queenscliffe,-38.26495,144.66013,Entire home/apt,484,2,17,19-11-2023,0.8,2,69,10
5.60E+17,Home in Port Fairy · ★4.80 · 4 bedrooms · 5 beds · 2 baths,68601670,Moyne,-38.38901,142.21897,Entire home/apt,364,2,5,14-05-2023,0.26,112,128,1
5.60E+17,Home in Saint Leonards · ★5.0 · 4 bedrooms · 7 beds · 2 baths,383269866,Greater Geelong,-38.16816,144.704,Entire home/apt,566,2,29,06-11-2023,1.9,1,334,23
5.60E+17,Cottage in Cape Bridgewater · ★4.92 · 2 bedrooms · 5 beds · 1 bath,444679366,Glenelg,-38.37112,141.40425,Entire home/apt,266,2,51,23-12-2023,2.34,1,317,27
